,image,class,format,mode,shape
0,Schizophrenia (1).jpg,infected,JPEG,RGB,"(512, 512, 3)"
2,Schizophrenia (1).tif,infected,TIFF,RGB,"(256, 256, 3)"
3,Schizophrenia (10).jpg,infected,JPEG,RGB,"(512, 512, 3)"
4,Schizophrenia (10).tif,infected,TIFF,RGB,"(256, 256, 3)"
5,Schizophrenia (100).jpg,infected,JPEG,RGB,"(512, 512, 3)"
6,Schizophrenia (1000).jpg,infected,JPEG,RGB,"(290, 250, 3)"
7,Schizophrenia (1001).jpg,infected,JPEG,RGB,"(620, 620, 3)"
8,Schizophrenia (1002).JPG,infected,JPEG,RGB,"(338, 264, 3)"
9,Schizophrenia (1003).jpg,infected,JPEG,RGB,"(442, 353, 3)"
10,Schizophrenia (1004).jpg,infected,JPEG,RGB,"(353, 300, 3)"
11,Schizophrenia (1005).jpg,infected,JPEG,RGB,"(251, 201, 3)"
12,Schizophrenia (1006).jpg,infected,JPEG,RGB,"(431, 400, 3)"
13,Schizophrenia (1007).jpg,infected,JPEG,RGB,"(212, 209, 3)"
14,Schizophrenia (1008).jpg,infected,JPEG,RGB,"(234, 216, 3)"
15,Schizophrenia (1009).jpg,infected,JPEG,RGB,"(223, 226, 3)"
16,Schizophrenia (101).jpg,infected,JPEG,RGB,"(512, 512, 3)"
17,Schizophrenia (1010).jpg,infected,JPEG,RGB,"(380, 294, 3)"
18,Schizophrenia (1011).jpg,infected,JPEG,RGB,"(277, 272, 3)"
19,Schizophrenia (1012).JPG,infected,JPEG,RGB,"(308, 244, 3)"
20,Schizophrenia (1013).JPG,infected,JPEG,RGB,"(350, 272, 3)"
21,Schizophrenia (1014).jpg,infected,JPEG,RGB,"(351, 278, 3)"
22,Schizophrenia (1015).jpg,infected,JPEG,RGB,"(237, 213, 3)"
23,Schizophrenia (1016).JPG,infected,JPEG,RGB,"(286, 241, 3)"
24,Schizophrenia (1017).jpg,infected,JPEG,RGB,"(512, 512, 3)"
25,Schizophrenia (1018).jpg,infected,JPEG,RGB,"(1280, 1061, 3)"
26,Schizophrenia (1019).jpg,infected,JPEG,RGB,"(260, 194, 3)"
27,Schizophrenia (102).jpg,infected,JPEG,RGB,"(512, 512, 3)"
28,Schizophrenia (1020).jpg,infected,JPEG,RGB,"(251, 201, 3)"
29,Schizophrenia (1021).jpg,infected,JPEG,RGB,"(295, 283, 3)"
30,Schizophrenia (1022).jpg,infected,JPEG,RGB,"(225, 225, 3)"
31,Schizophrenia (1023).jpg,infected,JPEG,RGB,"(938, 864, 3)"
32,Schizophrenia (1024).JPG,infected,JPEG,RGB,"(355, 272, 3)"
33,Schizophrenia (1025).JPG,infected,JPEG,RGB,"(323, 276, 3)"
34,Schizophrenia (1026).JPG,infected,JPEG,RGB,"(357, 283, 3)"
35,Schizophrenia (1027).JPG,infected,JPEG,RGB,"(348, 287, 3)"
37,Schizophrenia (1029).jpg,infected,JPEG,RGB,"(630, 587, 3)"
38,Schizophrenia (103).jpg,infected,JPEG,RGB,"(512, 512, 3)"
39,Schizophrenia (1030).jpg,infected,JPEG,RGB,"(993, 825, 3)"
40,Schizophrenia (1031).jpg,infected,JPEG,RGB,"(890, 700, 3)"
41,Schizophrenia (1032).jpg,infected,JPEG,RGB,"(246, 205, 3)"
42,Schizophrenia (1033).jpg,infected,JPEG,RGB,"(253, 200, 3)"
43,Schizophrenia (1034).jpg,infected,JPEG,RGB,"(512, 512, 3)"
44,Schizophrenia (1035).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
45,Schizophrenia (1036).JPG,infected,JPEG,RGB,"(279, 258, 3)"
46,Schizophrenia (1037).jpg,infected,JPEG,RGB,"(337, 293, 3)"
47,Schizophrenia (1038).JPG,infected,JPEG,RGB,"(324, 272, 3)"
48,Schizophrenia (1039).JPG,infected,JPEG,RGB,"(366, 310, 3)"
49,Schizophrenia (104).jpg,infected,JPEG,RGB,"(512, 512, 3)"
50,Schizophrenia (1040).JPG,infected,JPEG,RGB,"(312, 254, 3)"
